Song,Moods,Styles,Vocals,Speaker,Skills,Timbres,Score,Split
A166,,,F3-OverTheRainbow-Pop-抒情12.wav,F3,"vibrato, head voice, legato","gentle, warm, clear",0.187,train
MT0026999750,"Bright,Celebratory,Cheerful,Fun,Lively,Playful,Rousing,Slick,Stylish","Adult Contemporary,Contemporary Pop/Rock,Dance-Pop",Alto-2_Pharyngeal_All_of_Me_Paired_Speech_Group_0009.wav,Alto-2,"vibrato, belting","warm, powerful, clear",0.875,train
MT0002218376,"Boisterous,Energetic,Hedonistic,Humorous,Lively,Outrageous,Raucous,Rousing,Rowdy,Sexual,Silly,Sleazy,Trashy","Bass Music,Club/Dance,Dirty Rap,Electro,Party Rap",Tenor-1_Vibrato_Enchanted_Vibrato_Group_0000.wav,Tenor-1,"vibrato, legato","gentle, airy, smooth",0.142,train
MT0000732821,"Aggressive,Angry,Bitter,Brash,Confident,Energetic,Hostile,Lively,Rebellious,Rousing,Slick,Spiritual,Tense/Anxious,Uncompromising,Urgent,Volatile",Contemporary Reggae,Tenor-1_Mixed_Voice_and_Falsetto_Shallow_Control_Group_0006.wav,Tenor-1,"vibrato, falsetto","warm, gentle",0.115,train
MT0007088972,"Boisterous,Fun,Gutsy,Humorous,Irreverent,Playful,Rousing,Slick,Smooth,Swaggering,Witty,Wry","Adult Contemporary,Contemporary Pop/Rock,Country-Rock,Soft Rock",MT0007088972_vocals.wav,Jimmy Buffett,"Belting, Vibrato, Rhythmic Phrasing","Raspy, Gritty, Energetic",0.982,train
MT0012698055,"Amiable/Good-Natured,Cheerful,Confident,Fun,Happy,Humorous,Innocent,Lively,Playful,Relaxed,Sentimental,Smooth,Sophisticated,Stylish,Sweet,Warm,Whimsical,Wintry","Adult Contemporary,Christmas,Contemporary Pop/Rock,Holidays",Alto-2_Glissando_Yesterday_Once_More_Paired_Speech_Group_0001.wav,Alto-2,"vibrato, legato","gentle, clear, bright",0.15,train
MT0003603772,"Amiable/Good-Natured,Energetic,Romantic,Sexual,Sexy,Stylish","Contemporary R&B,Early R&B,Funk,Urban",Tenor-1_Pharyngeal_Enchanted_Control_Group_0008.wav,Tenor-1,"vibrato, falsetto, legato","bright, clear, gentle",0.345,train
MT0008267476,"Cathartic,Earthy,Eccentric,Energetic,Exuberant,Fun,Greasy,Intimate,Messy,Playful,Quirky,Raucous,Rustic,Warm","Acoustic Blues,Blues Revival,Jug Band,Old-Timey,String Bands",Alto-2_Vibrato_Fly_Me_to_the_Moon_Vibrato_Group_0000.wav,Alto-2,"vibrato, legato","gentle, clear, bright",0.125,train
MT0012333749,"Bravado,Bright,Cathartic,Celebratory,Confident,Dramatic,Energetic,Fiery,Freewheeling,Intense,Lively,Passionate,Rousing,Sexy,Spicy,Urgent,Yearning","Contemporary Flamenco,Flamenco,Spanish Folk,Western European Traditions,World Fusion,Worldbeat",F3-YouAreTheReason-Pop-低音慵懒抒情13.wav,F3,"vibrato, legato","warm, gentle, clear",0.133,train
MT0002024101,"Aggressive,Angst-Ridden,Boisterous,Brash,Confident,Confrontational,Energetic,Fiery,Harsh,Hostile,Outrageous,Rambunctious,Raucous,Rebellious,Rowdy,Tense/Anxious,Visceral,Volatile","Alternative Pop/Rock,Alternative/Indie Rock,Punk Revival",M1-ProudMary-FolkRock-正常15.wav,M1,"vibrato, legato","warm, deep, resonant",0.065,train
MT0010823031,"Angst-Ridden,Anguished/Distraught,Bleak,Brooding,Cathartic,Confrontational,Dramatic,Earnest,Earthy,Greasy,Gritty,Gutsy,Intense,Intimate,Knotty,Lazy,Passionate,Self-Conscious,Street-Smart,Tense/Anxious,Weary,Yearning","Electric Chicago Blues,Modern Electric Blues,Modern Electric Chicago Blues,Regional Blues",Tenor-1_Glissando_Million_Reasons_Glissando_Group_0002.wav,Tenor-1,"vibrato, falsetto","clear, gentle, bright",0.285,train
MT0011818239,"Brassy,Dramatic,Earnest,Elegant,Innocent,Intimate,Lush,Nocturnal,Precious,Refined,Romantic,Smooth,Sweet,Theatrical,Warm","Brill Building Pop,Early Pop/Rock,Teen Idols",F1-Yellow-Rock-抒情08.wav,F1,"Vibrato, Legato","Bright, Gentle, Clear",0.675,train
MT0004260672,"Boisterous,Cheerful,Lively,Nostalgic,Positive,Strong","Adult Contemporary,Rock & Roll",Tenor-1_Vibrato_Million_Reasons_Vibrato_Group_0002.wav,Tenor-1,"vibrato, falsetto","gentle, clear, reedy",0.125,train
MT0009239443,"Acerbic,Aggressive,Belligerent,Boisterous,Confrontational,Dramatic,Earnest,Fractured,Hostile,Hungry,Lively,Manic,Negative,Nervous/Jittery,Nihilistic,Ominous,Passionate,Pulsing,Rousing,Searching,Strong,Tense/Anxious,Visceral,Volatile","Alternative Metal,Contemporary Pop/Rock,Hardcore Punk,Heavy Metal,Nï¿½ Metal,Punk/New Wave,Rap-Metal",F4-BlankSpace-Pop-正常-调242.wav,F4,"vibrato, belting","bright, husky, clear",0.575,train
MT0012639323,"Bright,Cheerful,Freewheeling,Light,Literate,Lively,Precious,Rollicking,Rousing,Whimsical,Witty,Wry","British Invasion,Contemporary Pop/Rock,Rock & Roll",Alto-2_Breathy_Young_And_Beautiful_Breathy_Group_0001.wav,Alto-2,"vibrato, legato","gentle, clear, breathy",0.125,train
MT0010582452,"Carefree,Earthy,Freewheeling,Gritty,Laid-Back/Mellow,Organic,Passionate,Sensual,Smooth,Soothing,Summery,Sweet,Warm","Rocksteady,Roots Reggae",Alto-2_Pharyngeal_Someone_Like_You_Control_Group_0000.wav,Alto-2,"vibrato, legato","gentle, clear, smooth",0.125,train
MT0007860263,"Bitter,Bleak,Elegant,Freewheeling,Gentle,Gloomy,Melancholy,Plaintive,Poignant,Reflective,Sad,Stylish","Classic Female Blues,Swing,Torch Songs,Traditional Pop,Vocal Jazz",F2-ThinkOfMe-Opera-抒情42.wav,F2,"Vibrato, Belting, Clear Diction","Bright, Warm, Focused",0.813,train
MT0007939281,"Aggressive,Belligerent,Boisterous,Gloomy,Negative,Nervous/Jittery,Pulsing,Strong","Black Metal,Heavy Metal",Alto-1_Mixed_Voice_and_Falsetto_all_is_found_Falsetto_Group_0002.wav,Alto-1,"vibrato, legato","warm, gentle, soft",0.068,train
A182,"Spooky,Searching,Urgent,Swaggering,Rousing,Tense/Anxious,Hypnotic,Cathartic,Confident,Intense,Angst-Ridden,Dramatic,Atmospheric",,Alto-2_Mixed_Voice_and_Falsetto_The_Show_Mixed_Voice_Group_0000.wav,Alto-2,"smooth, legato","gentle, soft, clear",0.025,train
MT0005253065,"Anguished/Distraught,Bittersweet,Dramatic,Elegant,Gloomy,Intense,Literate,Melancholy,Plaintive,Poignant,Refined,Sentimental,Smooth,Stylish,Tense/Anxious,Wistful,Yearning","Chicago Soul,Northern Soul,Soul",MT0005253065_vocals.wav,Walter Jackson,"vibrato, belting, soulful delivery","warm, rich, powerful",0.976,train
MT0002737189,"Aggressive,Belligerent,Boisterous,Confrontational,Fiery,Harsh,Hostile,Intense,Nervous/Jittery,Outrageous,Provocative,Rambunctious,Raucous,Rebellious,Reckless,Rowdy,Strong,Urgent,Visceral,Volatile","Alternative Pop/Rock,Alternative Rap,Alternative/Indie Rock,Club/Dance,Contemporary Pop/Rock,Hardcore Punk,Punk,Punk/New Wave",Tenor-1_Mixed_Voice_and_Falsetto_Blank_Space_Mixed_Voice_Group_0000.wav,Tenor-1,"falsetto, vibrato","gentle, bright, clear",0.115,train
MT0007349422,"Bravado,Confident,Energetic,Hedonistic,Lively,Rousing,Slick,Street-Smart,Tense/Anxious,Thuggish,Uncompromising,Volatile","Gangsta Rap,Hardcore Rap,West Coast Rap",M2-Sandy-Pop-正常05.wav,M2,"vibrato, falsetto","gentle, clear, airy",0.052,train
MT0005827477,"Aggressive,Angry,Cathartic,Confrontational,Fierce,Fiery,Intense,Malevolent,Menacing,Raucous,Reckless,Urgent,Visceral,Volatile","Hardcore Punk,Heavy Metal,Punk Metal,Punk/New Wave",Alto-2_Mixed_Voice_and_Falsetto_This_Is_Me_Control_Group_0003.wav,Alto-2,"vibrato, smooth phrasing","gentle, bright, clear",0.115,train
MT0006562479,"Atmospheric,Brooding,Cerebral,Earthy,Intimate,Laid-Back/Mellow,Literate,Melancholy,Organic,Poignant,Reflective,Relaxed,Sad,Searching,Sentimental,Sparse,Warm,Weary,Wistful","Alternative/Indie Rock,Experimental Rock,Urban Folk",Alto-1_Vibrato_if_you_love_me_for_me_Vibrato_Group_0007.wav,Alto-1,"vibrato, legato","bright, clear, gentle",0.385,train
MT0006843007,"Agreeable,Lively,Optimistic,Positive,Strong,Swinging",Contemporary Pop/Rock,MT0006843007_vocals.wav,Tina Turner,"vibrato, belting, falsetto","smooth, warm, soulful",0.975,train
MT0007199330,"Amiable/Good-Natured,Bright,Dramatic,Earnest,Innocent,Joyous,Laid-Back/Mellow,Light,Reflective,Reserved,Reverent,Smooth,Soothing,Sophisticated,Sparkling,Spiritual,Stylish,Yearning","Adult Contemporary,CCM,Contemporary Christian,Inspirational",F1-Paparazzi-JazzPop-力量10.wav,F1,"vibrato, smooth delivery","bright, clear, gentle",0.325,train
MT0003570082,"Boisterous,Humorous,Hypnotic,Lively,Sexual,Sexy,Smooth,Summery,Trashy,Whimsical",Roots Reggae,Alto-2_Breathy_All_of_Me_Paired_Speech_Group_0005.wav,Alto-2,"speech-like, direct","husky, raw, thin",0.215,train
MT0027834332,"Aggressive,Belligerent,Gloomy,Lively,Negative,Nervous/Jittery,Pulsing,Strong","Black Metal,Heavy Metal",M1-ProudMary-FolkRock-正常14.wav,M1,"vibrato, clean vocals","warm, gentle, smooth",0.015,train
MT0005158273,"Earnest,Earthy,Gentle,Intimate,Organic,Plaintive,Poignant,Romantic,Summery,Sweet,Warm,Wistful,Yearning","Lovers Rock,Reggae-Pop,Roots Reggae,Smooth Reggae",MT0005158273_vocals.wav,Dennis Brown,"vibrato, belting, head voice","warm, soulful, raspy",0.98,train
MT0000426771,"Aggressive,Bleak,Cerebral,Detached,Fiery,Harsh,Intense,Manic,Menacing,Ominous,Visceral,Volatile","Alternative/Indie Rock,Dark Ambient,Experimental,Experimental Rock,Industrial",MT0000426771_vocals.wav,Einstï¿½rzende Neubauten,"vibrato, falsetto, legato","clear, gentle, bright",0.856,train
MT0002071907,"Aggressive,Bleak,Cerebral,Detached,Fiery,Harsh,Intense,Manic,Menacing,Ominous,Visceral,Volatile","Alternative/Indie Rock,Dark Ambient,Experimental,Experimental Rock,Industrial",Alto-2_Pharyngeal_Love_Story_Control_Group_0005.wav,Alto-2,"vibrato, clear diction","bright, gentle, clear",0.085,train
MT0007493575,"Brash,Brassy,Celebratory,Energetic,Exciting,Exuberant,Freewheeling,Fun,Happy,Humorous,Lively,Playful,Rollicking,Rousing,Smooth,Spicy,Swaggering","East Coast Blues,Jump Blues,Regional Blues,Swing,Traditional Pop",Alto-1_Breathy_all_is_found_Paired_Speech_Group_0006.wav,Alto-1,"legato, pure tone","bright, gentle, airy",0.125,train
MT0016918508,"Aggressive,Brash,Energetic,Hedonistic,Intense,Passionate,Rousing,Sensual,Sexual,Sexy,Slick,Street-Smart,Thuggish","East Coast Rap,Gangsta Rap,Hardcore Rap",Tenor-1_Breathy_Always_Remember_Us_This_Way_Breathy_Group_0009.wav,Tenor-1,"vibrato, falsetto","gentle, clear, smooth",0.425,train
MT0003454112,"Amiable/Good-Natured,Gentle,Innocent,Intimate,Laid-Back/Mellow,Light,Precious,Refined,Reflective,Relaxed,Reserved,Sentimental,Smooth,Soft/Quiet,Soothing,Spiritual,Sweet,Warm","Christmas,Crossover Jazz,Holidays,Jazz-Pop,Smooth Jazz",Tenor-1_Pharyngeal_Shallow_Pharyngeal_Group_0001.wav,Tenor-1,"vibrato, legato","gentle, clear, warm",0.96,train
MT0001463745,"Delicate,Elegant,Gentle,Innocent,Intimate,Laid-Back/Mellow,Refined,Reflective,Relaxed,Reserved,Romantic,Smooth,Soft/Quiet,Soothing,Summery,Warm","Crossover Jazz,Instrumental Pop,Jazz-Pop,Smooth Jazz",Alto-1_Mixed_Voice_and_Falsetto_let_it_go_Falsetto_Group_0010.wav,Alto-1,"vibrato, head voice","warm, gentle, clear",0.925,train
MT0034005433,"Amiable/Good-Natured,Bright,Fun,Innocent,Light,Playful,Quirky,Rustic,Silly,Theatrical,Whimsical,Witty","Comedy,Country-Pop,Novelty,Traditional Country",F1-IDreamedADream-Musical-抒情力量09.wav,F1,"vibrato, legato","warm, clear",0.175,train
MT0009041370,"Aggressive,Belligerent,Lively,Negative,Nervous/Jittery,Pulsing,Strong","Alternative/Indie Rock,Club/Dance,Industrial",Alto-2_Mixed_Voice_and_Falsetto_Hello_Mixed_Voice_Group_0010.wav,Alto-2,"vibrato, belting","bright, clear",0.025,train
MT0009202768,"Ambitious,Cerebral,Complex,Energetic,Fiery,Freewheeling,Intense,Lively,Sophisticated,Urgent","Hard Bop,Post-Bop",Tenor-1_Breathy_What_Was_I_Made_For？_Breathy_Group_0001.wav,Tenor-1,"vibrato, legato","gentle, soft, airy",0.082,train
MT0028124490,"Aggressive,Angry,Cathartic,Confrontational,Fierce,Harsh,Intense,Irreverent,Menacing,Provocative,Rebellious,Street-Smart,Uncompromising,Urgent","Hardcore Punk,Punk/New Wave",M2-AnyDreamWillDo-Pop-正常28.wav,M2,"vibrato, legato","gentle, soft, thin",0.125,train
MT0003037754,"Gloomy,Intimate,Lonely,Nostalgic,Sentimental,Yearning","Contemporary Pop/Rock,Singer/Songwriter",Alto-1_Pharyngeal_clouds_Paired_Speech_Group_0013.wav,Alto-1,"narrative phrasing, understated delivery","gentle, breathy, clear",0.885,train
MT0011879943,"Angst-Ridden,Bitter,Cathartic,Confrontational,Harsh,Outraged,Raucous,Rebellious,Urgent,Visceral,Volatile","British Punk,Punk,Punk/New Wave",Tenor-1_Pharyngeal_Enchanted_Control_Group_0004.wav,Tenor-1,"vibrato, head voice","bright, clear, warm",0.085,train
MT0029091265,"Atmospheric,Delicate,Dramatic,Earnest,Ethereal,Gentle,Innocent,Lush,Nocturnal,Poignant,Refined,Reflective,Relaxed,Reverent,Sentimental,Smooth,Soft/Quiet,Soothing,Spiritual,Yearning","Country Gospel,Gospel,Nashville Sound/Countrypolitan,Traditional Country",M1-MyWay-Pop-抒情27.wav,M1,"vibrato, legato, crooning","warm, resonant, rich",0.975,train
MT0009740290,"Amiable/Good-Natured,Bright,Carefree,Confident,Dignified/Noble,Earnest,Intimate,Joyous,Laid-Back/Mellow,Light,Literate,Positive,Reflective,Relaxed,Rustic,Sentimental,Smooth,Uplifting,Warm","Contemporary Country,Contemporary Singer/Songwriter",F1-FlyMeToTheMoon-ChildrenPop-欢乐07.wav,F1,"vibrato, legato","gentle, clear, warm",0.285,train
MT0000694316,"Aggressive,Belligerent,Lively,Negative,Nervous/Jittery,Pulsing,Strong","Club/Dance,Hardcore Punk,Punk,Punk/New Wave",F4-ThereYoullBe-Pop-力量07.wav,F4,"belting, vibrato","bright, powerful, husky",0.112,train
MT0001972829,"Dramatic,Earnest,Earthy,Insular,Intimate,Knotty,Melancholy,Passionate,Plaintive,Reflective,Reserved,Sentimental,Smooth,Somber,Warm,Weary,Yearning","Adult Contemporary,Blues-Rock,Contemporary Pop/Rock,Rock & Roll,Slide Guitar Blues",M1-FolsomPrison-CountryRock-正常14.wav,M1,"vibrato, legato","husky, warm, textured",0.412,train
MT0001974130,"Aggressive,Belligerent,Boisterous,Lively,Negative,Nervous/Jittery,Pulsing,Strong","Club/Dance,Heavy Metal,Speed/Thrash Metal",Alto-2_Mixed_Voice_and_Falsetto_The_Show_Mixed_Voice_Group_0003.wav,Alto-2,"vibrato, legato, head voice","gentle, clear, airy",0.015,train
